datetime,btc,atom,sol
2020-04-10 20:00:00,6864.694257006497,2.3022527483797255,0.9576058280146803
2020-04-11 20:00:00,6878.781212589853,2.305321232042503,0.7847113148208426
2020-04-12 20:00:00,6913.158787469097,2.3100032522658656,0.8759944068917709
2020-04-13 20:00:00,6857.538537511484,2.2620657367958374,0.7867121945458646
2020-04-14 20:00:00,6860.17853570111,2.3585085984475014,0.666673390515131
2020-04-15 20:00:00,6629.431738031291,2.269667331566875,0.6376210673084666
2020-04-16 20:00:00,7059.92622475854,2.4085267970000706,0.6923331250859114
2020-04-17 20:00:00,7035.261503989225,2.3706853398484036,0.657449398309544
2020-04-18 20:00:00,7242.5109294929825,2.5072720238082624,0.6769721852162044
2020-04-19 20:00:00,7127.511949689152,2.384795346989111,0.6094358389483635
2020-04-20 20:00:00,6856.456278354705,2.2753898696446644,0.5347904942320182
2020-04-21 20:00:00,6842.038597634602,2.2722231852936305,0.5728269210770057
2020-04-22 20:00:00,7109.995291181778,2.385363839485233,0.6848872198147996
2020-04-23 20:00:00,7382.793144116689,2.396465713022384,0.6217032788666345
2020-04-24 20:00:00,7495.393587498606,2.742568058673059,0.6227650900853694
2020-04-25 20:00:00,7538.557687279841,2.871219899278245,0.6470903181859691
2020-04-26 20:00:00,7683.867415083342,2.80268487399832,0.6398628040694914
2020-04-27 20:00:00,7774.281554448049,2.76576475772746,0.5683154806973284
2020-04-28 20:00:00,7758.230255185947,2.8012730985194927,0.6574283212299112
2020-04-29 20:00:00,8744.430287016561,2.929493322965155,0.7411890135877649
2020-04-30 20:00:00,8610.63580374089,2.7282005836077876,0.693089721323073
2020-05-01 20:00:00,8824.818413551968,2.829365913494568,0.7169539321663891
2020-05-02 20:00:00,8966.307014689282,2.870845776643251,0.7124378933182761
2020-05-03 20:00:00,8888.671912686868,2.775655037738356,0.6866098174679662
2020-05-04 20:00:00,8884.407813577056,2.7594713306365364,0.6728297405546847
2020-05-05 20:00:00,9003.240557621584,2.70236270995127,0.6503081490988862
2020-05-06 20:00:00,9144.68703972007,2.6438034042116128,0.6194003582280405
2020-05-07 20:00:00,9959.166416261767,2.723267898295407,0.6089398899298076
2020-05-08 20:00:00,9821.81131529702,2.80779908260449,0.608939662026112
2020-05-09 20:00:00,9566.777187205966,2.753669398843995,0.6017917957668725
2020-05-10 20:00:00,8752.617087745832,2.5157553964247916,0.541777928609612
2020-05-11 20:00:00,8604.75159101983,2.3850199086198867,0.5139234956267317
2020-05-12 20:00:00,8788.466749414652,2.483506430450031,0.5333426539131136
2020-05-13 20:00:00,9283.08601265873,2.5464360977259886,0.5533191018747785
2020-05-14 20:00:00,9796.494527024528,2.520383862299093,0.574281421724847
2020-05-15 20:00:00,9309.29535940684,2.467019649664657,0.5564341957677822
2020-05-16 20:00:00,9375.29710843331,2.5556101116515926,0.5989661106774994
2020-05-17 20:00:00,9666.32719340344,2.5381327289381845,0.6159337448626931
2020-05-18 20:00:00,9708.439858793108,2.592782411046848,0.6477344448774962
2020-05-19 20:00:00,9760.198937162193,2.6076771231351565,0.6219357513498963
2020-05-20 20:00:00,9526.50759300584,2.7032876695038954,0.5795859352817158
2020-05-21 20:00:00,9059.962506871727,2.5100288231052788,0.6055660983994974
2020-05-22 20:00:00,9131.767275081993,2.597443993895052,0.6149832258209792
2020-05-23 20:00:00,9170.361063506127,2.5906900014402416,0.6082201706733519
2020-05-24 20:00:00,8731.848525870651,2.4956210075858563,0.5465741722754689
2020-05-25 20:00:00,8883.691769863415,2.6134302380443475,0.6022304108336682
2020-05-26 20:00:00,8839.130663273247,2.5811242933243266,0.5731399463825178
2020-05-27 20:00:00,9174.118563996424,2.5999494954180657,0.5884004926151261
2020-05-28 20:00:00,9546.04563503715,2.6645082911828646,0.5721700884660958
2020-05-29 20:00:00,9427.120373393418,2.6740842807893035,0.5774323126967125
2020-05-30 20:00:00,9662.70587254818,2.820472875330498,0.5858132380721703
2020-05-31 20:00:00,9466.961781429516,2.7400800304692434,0.5756770028863081
2020-06-01 20:00:00,10167.93069332851,2.855637924238037,0.5789755237865244
2020-06-02 20:00:00,9515.243858655718,2.7574492953594794,0.565814320391003
2020-06-03 20:00:00,9645.227869360308,2.8994751110740657,0.586205470714686
2020-06-04 20:00:00,9776.20299178848,3.075357395963259,0.5867553687536804
2020-06-05 20:00:00,9636.965527050057,3.087986459187078,0.6569611049457513
2020-06-06 20:00:00,9662.858709002241,3.067054634550949,0.6254174646400334
2020-06-07 20:00:00,9738.603356828593,3.0201548853883633,0.6193745553415636
2020-06-08 20:00:00,9773.02951309516,3.1469109081450224,0.6676807419152483
2020-06-09 20:00:00,9767.00531665552,3.1161295221056733,0.6554185232956307
2020-06-10 20:00:00,9874.898681832236,3.113217907807041,0.6503617499580121
2020-06-11 20:00:00,9325.996856202635,2.7700954719444946,0.5719983046317773
2020-06-12 20:00:00,9469.533297509908,2.861570301186327,0.5933564822995189
2020-06-13 20:00:00,9469.473456163696,2.873287795392031,0.6088102028493066
2020-06-14 20:00:00,9345.960907722063,2.7581963591005816,0.586183105523133
2020-06-15 20:00:00,9431.719262201745,2.708458743361052,0.5703312716454458
2020-06-16 20:00:00,9524.92661691022,2.723378612161181,0.5850988389924333
2020-06-17 20:00:00,9463.361414311787,2.703986818674321,0.5818481709972113
2020-06-18 20:00:00,9399.767217129216,2.6494131679317716,0.6199980008389199
2020-06-19 20:00:00,9312.780104497786,2.6024858474881905,0.6860916859440122
2020-06-20 20:00:00,9360.247968201687,2.621796211871006,0.6445979846649201
